bn:00041942n	组
bn:00024615n	删节 削减
bn:00056029n	运动 动作 移动 行动 動作 運動 动物运 自发活动
bn:00042938n	硬线
bn:00016756n	中华人民共和国 中国 中華人民共和國 中国大陆 契丹 中國大陸 中國 中 中华 中華 大陆 大陸 中国内地 中國內地 內地 内地 华 華 国泰 prc 國泰 红色中国 🇨🇳 people's_republic_of_china proc 中共国 中华人民共和国大陆 中国大陆地区 中国定义 中國大陸人民 中華人​​民共和國 中華民國大陸地區 大陆地区 大陸地區 社会主义中国 祖國大陸 中国红 共产党中国
bn:00014103n	美國布希總統政府團隊 乔治·沃克·布什总统任期 喬治·w·布什總統 喬治·布希的美國總統任期 喬治·沃克·布希政府 喬治·沃克·布希總統任期 小布什的总统任期 小布希總統任期 布什政府 布殊政府 社會保障制度改革
bn:00001135n	
bn:00020980n	觀察者 观察者 評論員 评论员
bn:00020977n	发言 评论
bn:00044982n	时钟时间 点钟 一天中的时间
bn:00035831n	外交部长 外長 外长 外交部長 外務大臣 葡萄牙外交部长 外交部部长 外交部
bn:00003341n	美国 美國 美利坚合众国 美利堅合眾國 美 亚美利加 亞美利加 合众国 合眾國 花旗国 usa america american eeuu estados_unidos the_united_states_of_america u.s. u.s.a united_states united_states_of_america us 亞米利加合眾國 亞美利加合眾國 亞美利堅合眾國 亞美理駕合眾國 亞美理駕洲大合眾國 北方聯邦 大亞美理駕合眾國 漂亮國 米利坚合众国 美利堅合衆國 美利堅聯邦 美國聯邦 美洲合眾國 花旗國 阿美利堅合眾國 u.s.a.
bn:00057209n	negotiant 处理机 谈判
bn:00021164n	常识 常理 常識 母亲的智慧 良好的意识 马感
bn:00035211n	弹道 轨道 軌跡 彈道 軌道 轨迹 弹道轨线 轨线
bn:00041585n	大国 超级大国 大國 強權 世界强国 强国 超級大國 权力 世界強國 強國 列強 大国力量 國際關係中的權力 權力 權力（國際關係） 超級強權 great_power 一流大国 一流大國 一流強權 一流强权 世界霸主 全球霸主 列强 世界大国
bn:00033819n	断层线
bn:00009080n	冲突 衝突
bn:00029678n	经济 經濟 经济体系 經濟活動 經濟體 經世濟民 经济制度 国民经济 經濟體系 农村经济 经济体制
bn:00052888n	行星 仍列為行星 地外行星 惑星 主要的行星
bn:00029239n	义务 责任 義務 任务 勤务 职责 責任
bn:00000085n	二十四 24 二四 廿四 xxiv 两打
bn:00046093n	
bn:00026025n	代表 會議代表
bn:00022995n	成本 支出 代价 花费 財務成本 开支
bn:00001127n	行動 動作 行动
bn:00037187n	密谋 密謀 阴谋 陰謀 秘密计划
bn:00043539n	霸權 霸权主义 霸权 霸權主義 称霸亚太 称霸亚太战略
bn:00054693n	墨西哥 墨西哥合眾國 estados_unidos_mexicanos mexico méxico 墨西哥合众国
bn:00017172n	
bn:00001598n	顾问 顧問 指导教授 諮詢者
bn:00000728n	条约 协议 协定 公約 帕克 條約 国际条约
bn:00060798n	参与者 参加者
bn:00054277n	会员 成员 成員 會員
bn:00028548n	草稿 原稿 初稿 底稿 手稿 一份草案副本
bn:00064776n	建议
bn:00035851n	早晨 上午 早上 午前 拂晓 早 晨 清晨 上午的时间
bn:00009652n	
bn:00065344n	
bn:00064262n	压力
bn:00010203n	印度 㐖毒 印度共和国 印度共和國 印 天竺 india भारत_गणराज्य 婆罗多 婆罗多共和国 婆羅多國 巴拉特共和國 巴拉特
bn:00079330n	紧迫 紧急 緊迫
bn:00032654n	事实 事實
bn:00047688n	争议中的事 待解决的事 问题
bn:00041200n	大臣 部长 部長 閣員 局長 政府部长 初级部长 政治部长
bn:00001697n	飞机 飛機 飛行機 飞行机 固定翼飛機 飛龍機 飞龙机 定翼機 airplane plane
bn:00042663n	大厅 门厅 走廊 大廳 禮堂 厅 廳 会议厅
bn:00041948n	會議 會面 会议 聚會 代表大會 年會 開會 小组会议
bn:00057552n	新闻发布会 記者會 记者会 新聞發佈會 記者招待會 記招 新闻发布会上 记者招待会
bn:00019405n	声称 要求
bn:00006479n	
bn:00061450n	人民 人们 人士 人类 国民 國民 民族 人物雜誌 大众 民众 民眾 renmin 人
bn:00000086n	太阳日 日 24小时 天 平均太阳日 一昼夜 恒星日 日历日 民用日 太陽日 地球日 日间 24小时期间 24小时的时间间隔
bn:00001171n	活动家 武裝分子 活动分子 活動分子 活動家 活跃分子 活躍分子 积极分子 積極分子 激进分子 好战的
bn:00071315n	
bn:00060464n	纸 紙 打印纸 纸张 草稿紙
bn:00029345n	电子邮件 電子郵件 电邮 電郵 伊妹儿 伊妹兒 电子信函 電子信件 e-mail .eml email 电子函件 网络邮箱 電郵地址 📧 internet邮件
bn:00017557n	挑战
bn:00047043n	强度 強度 強烈 强烈 烈度 密集
bn:00054897n	星期三 周三 礼拜三 禮拜三 週三 ㈬ ㊌ 星期參 水曜日 禮拜參
bn:00010317n	专业 大联盟
bn:00079435n	副總統 副总统 副主席 v.p. 副总裁 执行副总裁 高级副总裁
bn:00063330n	政策 政治策略 政策類型 政見 方針 政策制定者
bn:00009664n	
bn:00078365n	胜利 喜悦 成功 凯旋 凱旋 勝利 捷
bn:00047679n	以色列 以国 以國 以色列国 israel 以色列國 选票
bn:00080111n	访问 作客 参观 拜访 游览 看望 探訪
bn:00073699n	团队 队 球队 隊 팀
bn:00052052n	
bn:00016286n	表现 实行 履行 执行 执行行动
bn:00063218n	得分 分 比分 点
bn:00000942n	极点 顶点
bn:00000427n	不在 缺席 在外 外出期 没有
bn:00030844n	参与 参加 參加 參與 政治参与
bn:00076309n	團隊合作 全队合作 全隊合作 团队协作 团队合作 團隊協作 合作
bn:00030720n	最后阶段 结束
bn:00075025n	成功
bn:00059751n	出界
bn:00037181n	
bn:00033833n	
bn:00069757n	記分板 记分牌 記分牌 記分版 计分板
bn:00073989n	开始 開始
bn:00008875n	拋踢球得分 得分
bn:00012213n	边境 边缘
bn:00021870n	推测 假设 猜测 surmisal
bn:00057368n	
bn:00006143n	手腕 腕 腕骨 腕关节 腕子 wrist carpal carpal_bone 腕關節 articulatio_radiocarpea
bn:00069759n	
bn:00034792n	比赛的第一节 第一期
bn:00065577n	
bn:00081568n	工作
bn:00081042n	
bn:00005053n	鼓掌 拍手 掌声 掌聲 👏
bn:00044531n	回乡 归国 回来 归来 返回 还乡 回鄉 歸國
bn:00044488n	
bn:00050340n	领先 率先
bn:00025236n	晚上 夜晚 夜里 夜间 夜裡 晚 晚間 晚间 黑夜 夜間 夜 🝯
bn:00042647n	中场休息 中場表演 半場休息時間
bn:00042759n	手 前足 前肢骨 右手 左手 手心 手部 雙手 手底板 手底背 手掌 手掌心 手背 掌心 掌骨 马努斯
bn:00036823n	作用 办公室 功能
bn:00066863n	恢复 复原 归还 送还
bn:00051117n	
bn:00027415n	坏处 不利 不利条件 不利环境 不利的情况
bn:00060799n	竞赛者 运动员 选手 比赛的人 玩家 競賽者 運動員 選手 参与者 参加者 參加者 參與者
bn:00023270n	一些 几个 数个 夫妇
bn:00062929n	发挥
bn:00002155n	帮助 帮 援助 幫 幫助 帮忙
bn:00030719n	末尾 末期 端 终止 结束 結局 结局
bn:00061606n	周期
bn:00055094n	分 分钟 分鐘
bn:00051301n	
bn:00053001n	恶意 怨恨 易怒
bn:00030341n	最后一刻 最后一分钟
bn:00019848n	
bn:00070056n	賽季 季节 體育季度 赛季 主场和客赛季 常规赛 接近赛季 赛季前的 赛季结束
bn:00076788n	中英街
bn:00046200n	冲量 衝量 冲力 推动力 衝力 势头
bn:00028114n	元 一美元 块 dollar 圆 圓 dollars 美元
bn:00010302n	纽约证券交易所 new_york_stock_exchange nyse 紐交所 紐約股票交易所 紐約證交所 紐約證券交易市場 紐約證券交易所 紐約證券交易所集團股份有限公司 纽约股票交易所 纽约证券交易委员会 纽约证券市场 纽约证卷交易所 n.y.证券交易所
bn:00002181n	方位 轴承
bn:00053460n	金融市场 金融市場 金融市场学 金融市場學 证券业
bn:00046418n	指标 經濟指數 指数 索引号
bn:00028458n	道琼斯工业平均指数 杜瓊斯工業平均指數 杜瓊斯指數 美国道琼斯工业指数 道指 道琼斯指数 道瓊工業平均指數 道瓊工業指數 道瓊斯工業平均指數 道瓊斯工業指數 道瓊工業平均指數成分股 道瓊斯工業平均指數成份股 道琼斯
bn:00056893n	纳斯达克 全国证券业协会行情自动传报系统 納斯達克 納斯達克股票交易所 纳斯达克交易所 美國納斯達克市場 那斯達克 nasdaq 全國證券交易商協會自動報價系統 美國全國證券業協會行情自動傳報系統 全国证券交易商协会自动报价系统 納斯達克_omx 納斯達克證券交易所 美国证券交易商协会自动报价系统 全国证券交易商自动报价系统协会
bn:00019966n	发条 扫荡
bn:00034394n	数 数字 数目 数量
bn:00005105n	工程 工程学 技术 應用科學 工程物理 工学 工程學 工程科學 应用研究 工程科学 应用科学 应用技术 现代技术
bn:00064119n	优势 卓越 显著 优生
bn:00056870n	险胜
bn:00077880n	贸易
bn:00013768n	量
bn:00016404n	
bn:00076496n	趋势 倾向
bn:00065107n	发表 發表
bn:00059168n	意见 意見 觀點 科学的意见
bn:00066995n	关系
bn:00042963n	鲁棒性 健壮性 稳健性 鲁棒 lustiness
bn:00066597n	
bn:00003802n	经济分析家
bn:00068916n	卖 销售
bn:00058192n	11月 十一月 11月份 ㋊ 一一月
bn:00014710n	月 月份 历月
bn:00068427n	
bn:00021743n	信任 信心 信念 把握 确实性 自信
bn:00022095n	消费者 消費者
bn:00025645n	12月 十二月 12月份 ㋋ 一二月
bn:00005164n	估计 估計 估价 判断 评价 近似值 估算 判斷 低估 高估
bn:00044024n	
bn:00031888n	欧元 歐元 欧 € 歐羅 eur euro 欧圆 💶
bn:00070206n	经济部门
bn:00071869n	事态 情况 境遇 情势 状态 局面 形势 原子事態 事態 情勢 情況 狀態
bn:00017368n	證券 证券 凭证 单据 有价证券 証券 证券业 證卷 证券交易 金融证券
bn:00008870n	基点或基础 基础
bn:00026339n	美国财政部 财政部 国库 國庫 財政部 美國財政部
bn:00011974n	债券 債券 債劵 公司債券 债券证书
bn:00047691n	收益 利润 收入 赢利 回报 征收
bn:00078546n	周二 星期二 禮拜二 礼拜二 週二 ㈫ ㊋ 星期貳 火曜日 禮拜貳
bn:00031998n	晚上 傍晚 黄昏 薄暮 前夕 前夜 黃昏 暮 甚至
bn:00058745n	油公司
bn:00021556n	涉及 关注
bn:00080036n	暴力
bn:00046933n	不稳定性 不稳固 不稳固性 不稳定 不穩固 不穩固性 不穩定 不穩定性
bn:00007299n	政权 政府 政体 养生术 养生法 養生法 養生術 国家政权 國權 封建君主制国家 封建君主制政權 封建君主国 封建君主政權 封建国家 封建政權 封建王朝 封建皇朝 政權 政權組織 权威国家 绝对主义国家 資本主義國家 资本主义国家 当局
bn:00008794n	基础设施 基建 基礎設施 公共建設 基礎建設 infrastruction 公共設施 城市基础设施 基本建设 铁公机
bn:00007085n	拍卖 拍賣 公开拍卖 竞卖 拍買賣 竞拍 拍卖行 集合競價 无声拍卖
bn:00068696n	星期六 周六 礼拜六 禮拜六 週六 ㈯ ㊏ 土曜日 星期陸 禮拜陸 sabbatum
bn:00068622n	俄罗斯 俄国 俄國 俄羅斯 露西亞 露西亚 俄罗斯联邦 russia россия 俄 俄羅斯聯邦 俄羅斯聯邦共和國 俄联邦 羅宋
bn:00024112n	石油 原油 shiyou 天然气分销 岩油 常规石油 石油燃料 矿物油
bn:00014160n	公司 事务所 企业 商号 商行 商业企业
bn:00002362n	伊拉克 伊拉克共和国 iraq 伊拉克共和國 irak 铝伊拉克
bn:00058741n	石油產業 石油产业 石油业 石油和天然气行业 石油公司 石油業 炼油行业 石油业务 石油工业
bn:00025646n	十年 十年间 年代 十年期 decennium
bn:00080439n	战争 戰爭 戰事 武装冲突 兵荒馬亂 征戰 战 战乱 戰火 打仗 武力解决 武裝衝突 用兵 用兵打仗 行軍打仗 軍事衝突 军事冲突
bn:00069122n	
bn:00021286n	公司 企业 事业 事業 企業 事业者 inc. 会社 商家 商業單位 商業機構 非牟利公司
bn:00047081n	利润 权益 股份 利益 兴趣
bn:00034265n	田 田野 旱田 野外 英亩 英畝 农业领域 领域
bn:00010262n	出价 出價 招标
bn:00014152n	交易 生意 贸易 买卖 商业 经商 貿易
bn:00048592n	6月 六月 6月份 06月 ㋅ 6月日
bn:00067192n	
bn:00040387n	
bn:00028249n	
bn:00029774n	主编 總編輯 主編 总编辑 編輯長 總編 编辑 副主编 执行编辑 编辑，总
bn:00057546n	新闻 消息 时事 六要素 新聞 新聞報導 新闻要素 時事 新闻报道
bn:00054409n	零售商店 零售店 贸易的建立 销售渠道
bn:00001939n	长时间 周岁 周歲 岁 年紀 年纪 年齡 年龄 歲 久
bn:00058679n	
bn:00070225n	安全性措施
bn:00070219n	安全 保安 保卫 安全文化 保全 安保 安全保障 安全管理員 安管 安管員 看更 衛士 警衛 護衞
bn:00011946n	
bn:00005732n	武裝部隊 军队 軍隊 武装部队 武装力量 軍事 军事 部队 武力 武装斗争 武裝 武裝人員 武裝力量 defense 入伍 兵制 军事制度 军事部队 军务 军方 军队事务 国防 國家防衛 國家防衛事務 國防 軍中 軍中事務 軍事制度 軍事力量 軍務 軍用 軍隊事務 军事机器 战争机器 武装抵抗 武装服务
bn:00007805n	储备 存货 贮存 储存 儲備 儲存 后备 库存 庫存 後備
bn:00003801n	分析师 分析员 分析家 分析者
bn:00016401n	实例 事例 例子 场合 情况 情况下
bn:00017562n	挑战者 挑戰者 对手 竞争者
bn:00030825n	
bn:00030747n	风险 風險 危险 危害 冒险 危险之源 安全危害 安全风险 有害
bn:00070914n	股东 股東 持股人 株主 的股东
bn:00055180n	部 部门
bn:00028625n	平局 领带
bn:00001592n	忠告 劝告 建议
bn:00022227n	合同 合约 契约 合約 契約 契約行為 合同法 合約法 合約精神 契約法 盟約 具有法律约束力的 承包 担保
bn:00080816n	周末 週末
bn:00023288n	航向 路 路径 路线 轨道 途径 道路 航路 课程
bn:00073526n	发言人 代表者
bn:00031285n	同等 平等 相等 相等的状态
bn:00021034n	
bn:00008694n	桶 一桶的量 大琵琶桶 油桶
bn:00033939n	费 小费 費用 費 服務費 課金
bn:00059788n	产量 產量 产出 收成 輸出 输出 经济产出
bn:00025965n	水平 程度 等级 层次 度 度数 等級
bn:00008364n	银行 銀行 存放款金融机构 银行业 🏦 国际银行 外资银行 存款类金融机构 银行公司 银行关注 银行家 银行系统
bn:00074010n	国家
bn:00007799n	财政支持 供给 财政支援 资金后盾 资金支持 金融支持
bn:00011975n	手铐 束缚物 枷锁 桎梏
bn:00064839n	经济安全 保护 保证 保障 担保 經濟安全 經濟安全保障 經濟保障 国家经济安全 安全
bn:00036839n	基金 存款 货币基金
bn:00003601n	款项 金额 一笔钱 金額 的钱数
bn:00000739n	报道 报告 写了
bn:00013240n	
bn:00031641n	制度 建立 机构 设立 社會制度 制度主义 建制 社會機制 social_institution
bn:00051251n	限制 限制规定
bn:00000649n	接受 认可 采纳
bn:00051250n	局限 极限 限制 限制因素 限度
bn:00027366n	董事 主任 主管 经理 导演 当家人 理事 總監 取締役 常务董事
bn:00012042n	奖金 獎金 津贴 红包 额外津贴 额外酬金
bn:00017791n	费用 收費 收费 費用
bn:00047367n	投資者 投资者 投資人 投资家 投資家 投资人 股民
bn:00051693n	贷款 借款 借贷 借錢 融資 貸款 電影融資 贷款人 借 放債 貸款人
bn:00008047n	余数 剩余 剩余部分 存余者 残渣 其余部分 渣油
bn:00047831n	累积赌注 锅
bn:00068915n	出售
bn:00014136n	买卖 買賣 企业关注 企业组织 公司法
bn:00079107n	单位 单元
bn:00023844n	危机 危機
bn:00047358n	投资 投資 投入 短期投资 外国投资者 物业投资 资本投 金融投资
bn:00016448n	现金 現金 现款 现钱 現款 現錢 硬通货 真金白银
bn:00050920n	责任
bn:00076744n	星期四 周四 礼拜四 禮拜四 週四 ㈭ ㊍ 星期肆 木曜日 禮拜肆
bn:00015496n	资本 流动资本 营运资本 营运资金 營運資金 周转资产 资本（经济） 民资 資本 資本額 外资 投资本 金融资本
bn:00046356n	增加 增量 增额
bn:00000939n	引用 参考文献 引文 语录 參考文獻 文内引用 源需要
bn:00008279n	党 黨 带
bn:00005019n	上诉 上訴 上告 上诉审查 提出上诉 被上诉人
bn:00000125n	六 6 ⅵ ⓺ ❻ ➅ ➏ 〦 ６ hexad sise sixer 六重 六重奏 半打 船长希克斯
bn:00023302n	法庭 法院
bn:00068424n	排
bn:00076677n	自白 口供 证词 作证
bn:00025872n	联防队员 辩护律师
bn:00054523n	訊息 信息 短信 讯息 音信 传言 傳言 消息 公报
bn:00078198n	审判 审讯 审理 受审 審理 無效審判 刑事案件 试图
bn:00006469n	强奸 强奸罪 姦淫 強制性交 強姦 性侵 强奸犯 性強迫 性要脅 奸杀 奸污 姦污 姦污婦女 姦淫婦女 強姦法 强奸案 强奸者 施暴 誘姦 迷奸 騙奸 騙姦 连续强奸犯
bn:00018345n	未成年人 儿童 孩子 兒童 孩 小儿 小孩 小孩子 孩儿 孩兒 小兒 兒少 再見，未成年 未成年 童年 人类幼崽 囡 囡仔 孩童 小囡 小把戏 小朋友 小童 少儿 幼儿 未成人 未成年兒童 未成年少女 未成年少男 未成年者 童 适龄儿童 🧒 少年 鲰
bn:00009472n	床 卧榻 床鋪 床铺 睡鋪 睡铺 臥榻 床具 床笫 牀 bed 眠床
bn:00044994n	房子 房屋 住宅 家 家屋 厝 屋 民宅 厝宅 宅 宅第 屋仔 徛家 民家 茨 邸 住宅區 住屋 住房 住所 宅子 居室 屋企 屋子 屋家 屋里 楼房 樓宇 民宅區 民居 民房 私人樓宇 🏠 🏡 住宅建筑
bn:00034004n	成员 会员 队员 资深会员
bn:00032892n	家庭 戶 人家 户 家庭成员 家族 一家人 家人 世帯 世帶 家戶 家政
bn:00048488n	法官 推事 裁判官 審判長 👨‍⚖️ 👩‍⚖️ 🧑‍⚖️ iudex 司法
bn:00046148n	
bn:00048658n	陪审团 陪审员 陪審團 法國陪審制
bn:00007051n	律师 律師 辩护人 執業律師 辯護士 辯護律師 刑事律师 法律顾问 辩护律师
bn:00023301n	法庭 法院 仲裁庭 審議庭 法官 審裁處 专门法院 公堂
bn:00034444n	
bn:00005600n	论据
bn:00023362n	报告 新闻报导 新闻报道 报告文学
bn:00057562n	记者 新闻工作者 記者 新闻人物 新闻记者
bn:00030627n	僱用 就业 就業 用法 雇佣 雇用 使用 采用
bn:00016140n	
bn:00003263n	气氛 周围环境 大气 大气圈 大气层 氛围 氣氛
bn:00026622n	细节 一点
bn:00060907n	激情 热情 狂熱 passionateness
bn:00019404n	声称 断言 命题 要求 逻辑命题
bn:00064192n	规定
bn:00025170n	危险 威胁
bn:00046310n	包含 包括
bn:00046516n	人 个人 个体 凡人 個人 某人 灵魂 個體 有些人 有人 谁
bn:00067807n	权利 權利
bn:00025890n	辩护律师 辯護律師 刑事律师 刑事辩护律师
bn:00078207n	主审法官
bn:00064914n	省 县 国家 州 府 省份
bn:00075262n	高級法院 上级法院
bn:00059171n	裁决
bn:00048459n	新闻媒体 新聞媒體 新聞媒體業 新聞業
bn:00032047n	證據 证据 作证 證物 明證 罪証 罪证
bn:00050106n	
bn:00050107n	
bn:00005022n	上诉法院 上訴法院 受理上诉的法院 上訴審查 上訴法庭
bn:00016403n	诉讼 案件 官司 起诉 控告 案 讼案 诉讼案 诉讼案件 民事诉讼 禁制令 訴訟 司法案件 法律判例 法律訴訟 法律诉讼 緊急處分 诉讼律师 民事案件 原因 因果 审前 当事人 民事法庭 法律纠纷 病因 系统原因
bn:00015226n	公平意识
bn:00075359n	美国最高法院 美國最高法院 united_states_supreme_court 美国最高法庭 美国联邦最高法院 美國聯邦最高法院 联邦最高法院 中美最高法院 中美最高法院的 司各脱 最高法院美利坚合众国 美国最高法院大官
bn:00021628n	定罪 判决 判罪 证明有罪 量刑 判決 裁决 裁決 刑事定罪 刑罚 定罪判决
bn:00019742n	克利夫兰 克里夫蘭 企城 企李崙 克里夫兰 克利夫蘭 cleveland 克利夫兰市
bn:00059674n	osteopathist 整骨
bn:00032175n	谋杀 謀殺 凶杀 杀人 杀戮 故意杀人 故意杀人罪 謀殺罪 一級謀殺罪 故杀 蓄意殺人 预谋杀人 一级谋杀罪 二级谋杀 二级谋杀罪 杀害 酷刑谋杀
bn:00053531n	妻子 太太 老婆 爱人 家室 堂客 妻 家後 拙荆 賤內 人妻 内子 前妻 娘子 妇人
bn:00021584n	决定 结论
bn:00023807n	罪行 犯罪行为 罪案 刑事犯罪 犯罪 罪 犯罪行為 刑事罪行 兇犯 刑事案件 刑事犯罪分子 外国人犯罪 无价值 犯人 犯法 犯罪分子 犯罪活動 罪名 罪犯 赃款 违法者 違法犯罪 犯罪活动 违法 非法活动
bn:00046926n	
bn:00076429n	电视节目 電視節目 電視編排 电视编排
bn:00034471n	电影 影片 電影 大電影 片 电影剧 第八藝術 movie 彩色电影 影畫戲 映畫 电影作品 电影学 主要的电影 大屏幕 影 戏剧电影 画展 移动图片 移动图片展示 运动图片展示 运动画面的
bn:00042601n	一半 半 二分之一 0.5 50% 的二分之一
bn:00017234n	世纪 世紀 百年
bn:00033729n	模式 方式 风格
bn:00016851n	原因
bn:00016013n	关心 挂念 关注
bn:00064601n	教授 老师 大学教授 副教授 博士生导师 正教授 个人的椅子 助理教授 名誉教授 教授extraordinarius 普通教授 椅子
bn:00021904n	康乃狄克州 康涅狄格州 connecticut 康乃狄克 康乃狄格 康乃狄格州 康乃迪克州 康尼迪克州 康涅狄克州 宪法国家 肉豆蔻国家
bn:00015656n	死刑 处决 极刑 处死 極刑 死罪 處死 處決 伏法 大辟 弃市 执行死刑 生命刑 重辟 执行 司法执行
bn:00067181n	报告 報告 報告書 报告书 书面报告
bn:00045800n	想法 主意 构想 理念 思想 思维 構想 思考 考慮 考虑 意念 構思 构思 點子
bn:00021221n	沟通 溝通 通信 通訊
bn:00048657n	jurywoman 陪审员
bn:00066343n	反应
bn:00032381n	照片 相片 像片 寫真 摄影作品
bn:00079940n	受害者 受害人 牺牲者
bn:00025364n	女儿 女兒 姑娘 閨女 闺女 千金 囡囡
bn:00064806n	檢察官 控方律师 检察官 檢事 起訴人 檢控 檢控官 檢方 公诉人 起诉 起诉人 起诉官
bn:00034552n	判决 裁定 陪审团裁决 裁决 裁決 裁斷 判决书 发现的事实
bn:00021961n	结果 后果 結果 影响 效果
bn:00047077n	兴趣 興趣
bn:00017559n	盘问 诘问 质疑 质问
bn:00030113n	选举 選舉 競選 國政選舉 竞选 民選 竞选连任 第民选
bn:00015050n	竞选运动 政治运动 选战 助选 政治競選 政治運動 竞选活动 競選活動 选举活动 選戰 選舉活動 总统竞选
bn:00015056n	候选人 候补 竞选者 被提名的人 活动家 被提名人
bn:00070459n	美国参议院 美國參議院 参议院 參議院 議會 議院 议会 议院 美利堅合眾國參議院 合众国参议院 合眾國參議院 美利坚合众国参议院 美国联邦参议院 美國參議員 美国参议员
bn:00030581n	情绪 情感 感情 喜怒哀樂 情緒
bn:00021278n	压碎 粉碎 压实 壓實
