bn:00041942n	nhóm
bn:00046418n	chỉ_số số_mu
bn:00028458n	chỉ_số_trung_bình_công_nghiệp_dow_jones chỉ_số_bình_quân_công_nghiệp_dow_jones chỉ_số_công_nghiệp_dow_jones dow_jones chỉ_số_dow_jones_công_nghiệp djia dow_30 dow_jones_công_nghiệp dow_industrials dow_jones_industrial dow_jones_industrial_average dow-jones_industrial_average
bn:00056893n	nasdaq hiệp_hội_các_quốc_gia_báo_giá_đại_lý_chứng_khoán_tự_động
bn:00019966n	làm_tiêu_hết windup đóng_cửa
bn:00034394n	số số_lượng
bn:00005105n	khoa_học_ứng_dụng vật_lý_kỹ_thuật kỹ_thuật ứng_dụng kĩ_nghệ kĩ_thuật khoa_học_kỹ_thuật công_nghệ công_nghệ_hiện_đại công_nghệ_ứng_dụng kỹ_thuật_vật_lý ứng_dụng_công_nghệ
bn:00064119n	sự_có_quyền
bn:00056870n	thu_hẹp_biên_độ
bn:00077880n	kinh_doanh
bn:00013768n	khối_lượng
bn:00016404n	trường_hợp
bn:00076496n	xu_hướng
bn:00065107n	
bn:00059168n	ý_kiến ý quan_điểm quan_điểm_khoa_học
bn:00066995n	mối_quan_hệ
bn:00042963n	sự_thèm_thuồng đột_biến_mạnh_mẽ
bn:00066597n	
bn:00003802n	
bn:00068916n	
bn:00058192n	tháng_mười_một tháng_11 thg11 31_tháng_11
bn:00014710n	tháng tháng_lịch
bn:00068427n	
bn:00021743n	
bn:00022095n	người_tiêu_dùng luật_bảo_vệ_quyền_lợi_người_tiêu_dùng người_tiêu_thụ quyền_người_tiêu_dùng tiêu_dùng
bn:00025645n	tháng_mười_hai tháng_mười tháng_12 thg12
bn:00005164n	ước_lượng ước_số ước_tính dự_toán
bn:00044024n	
bn:00031888n	euro âu_kim eur euros ký_hiệu_euro đồng_euro €
bn:00070206n	thành_phần_kinh_tế
bn:00071869n	tình_hình tình_trạng_của_tiểu_bang
bn:00017368n	chứng_khoán thuật_ngữ_chứng_khoán an_ninh chứng_khoán_nợ chứng_khoán_tài_chính
bn:00008870n	cơ_sở
bn:00026339n	bộ_ngân_khố_hoa_kỳ bộ_tài_chính bộ_tài_chánh_hoa_kỳ bộ_tài_chính_hoa_kỳ bộ_tài_chính_mỹ bộ_ngân_khố_hoa_kì bộ_tài_chánh_hoa_kì bộ_tài_chính_hoa_kì united_states_department_of_the_treasury bộ_ngân_khố bộ_tài hoa_kỳ hoa_kỳ_kho_bạc
bn:00011974n	trái_phiếu trái_phiếu_giấy_chứng_nhận
bn:00047691n	năng_suất takings tiền_thu_được trở_lại
bn:00078546n	thứ_ba th_3
bn:00031998n	chiều_tối buổi_tối tối buổi_chiều thậm_chí
bn:00058745n	công_ty_dầu công_ty_dầu_khí ngành_công_nghiệp_dầu_khí
bn:00021556n	quan_tâm
bn:00080036n	
bn:00046933n	chưa_ổn_định.
bn:00007299n	chế_độ_chính_trị chính_thể_nhà_nước chính_thể chính_phủ chính_quyền chế_độ
bn:00008794n	cơ_sở_hạ_tầng công_trình_hạ_tầng_xã_hội hạ_tầng_cơ_sở kết_cấu_hạ_tầng cơ_sở_hạ_tầng_đô_thị
bn:00007085n	đấu_giá bán_đấu_giá nhà_bán_đấu_giá nhà_đấu_giá vendue đấu_giá_im_lặng
bn:00068696n	thứ_bảy sabbatum th_7
bn:00068622n	nga nga_la_tư liên_bang_nga ru russia cộng_hòa_liên_bang_nga lb_nga nhà_nước_liên_bang_nga nước_nga
bn:00024112n	dầu_mỏ dầu_khí dầu_thô vàng_đen dầu_lửa dầu_nguyên_chất dầu_thông_thường hóa_thạch_dầu phân_phối_khí_đốt
bn:00014160n	công_ty công_ty_kinh_doanh ty
bn:00002362n	i-rắc iraq cộng_hoà_irăc cộng_hòa_irăc i-rắk i_rắk irăc irắc irắk al-iraq cộng_hòa_iraq irak
bn:00058741n	công_nghiệp_dầu_khí công_nghiệp_dầu_mỏ công_ty_dầu_khí dầu_kinh_doanh ngành_công_nghiệp_dầu ngành_công_nghiệp_dầu_khí tinh_chỉnh_ngành_công_nghiệp
bn:00025646n	thập_kỷ thập_niên mười_năm thập_kỉ thập_niên_kỷ decennium khoảng_mười_năm
bn:00080439n	chiến_tranh cuộc_xung_đột_quân_sự xung_đột_vũ_trang
bn:00069122n	
bn:00021286n	công_ty doanh_nghiệp doanh_thương xí_nghiệp hãng hãng_kinh_doanh giá_trị_cốt_lõi_của_doanh_nghiệp ty
bn:00047081n	quan_tâm
bn:00034265n	cánh_đồng ruộng lĩnh_vực_nông_nghiệp một_vực trong trong_nông_nghiệp
bn:00010262n	đấu_thầu sự_trả_giá sự_đặt_giá
bn:00014152n	giao_dịch_thương_mại này
bn:00048592n	tháng_sáu tháng_6 thg6 tháng_06
bn:00067192n	
bn:00040387n	
bn:00028249n	
bn:00029774n	biên_tập_viên biên_tập_tạp_chí biên_tập_viên-in-chief biên_tập_viên_trưởng biên_tập_viên_điều_hành chỉnh_sửa phó_tổng_biên_tập tổng_biên_tập
bn:00057546n	tin_tức thời_sự báo_cáo_tin_tức sự_kiện_hiện_tại
bn:00054409n	cửa_hàng_bán_lẻ buôn_thành_lập cửa_hàng_duy
bn:00001939n	ma năm năm_dương_lịch thời_gian_dài thời_gian_kéo_dài
bn:00058679n	
bn:00070225n	biện_pháp_an_ninh
bn:00070219n	an_ninh
bn:00011946n	
bn:00005732n	lực_lượng_vũ_trang quân_đội chi_nhánh_quân_sự cỗ_máy_chiến_tranh dịch_vụ_vũ_trang kháng_chiến_vũ_trang lực_lượng_quân_sự quân quân_lực quân_nhân quân_sự đội_quân
bn:00007805n	kho_dự_trữ
bn:00003801n	
bn:00016401n	trường_hợp
bn:00017562n	người_thách contender người_hồi_tị đua_tranh đối_thủ_cạnh_tranh
bn:00030825n	
bn:00030747n	rủi_ro nguy_hiểm mối_nguy nguy_cơ nguy_cơ_bảo_mật đe_dọa
bn:00070914n	cổ_đông người_có_cổ_phần người_có_cổ_phần shareowner
bn:00055180n	bộ bộ_chính_phủ bộ_của_chính_phủ
bn:00028625n	tie trận_hòa
bn:00001592n	tư_vấn
bn:00022227n	hợp_đồng contract bảo_lãnh ký_kết_hợp_đồng luật_hợp_đồng ràng_buộc_pháp_lý thỏa_thuận_hợp_đồng
bn:00080816n	cuối_tuần tuần_làm_việc
bn:00023288n	khóa_học
bn:00073526n	phát_ngôn_viên
bn:00031285n	
bn:00021034n	
bn:00008694n	thùng barrel
bn:00033939n	phí lệ_phí cước_phí
bn:00059788n	sản_lượng sản_lượng_kinh_tế
bn:00025965n	mức_độ lớp_tiến_hóa mức_độ_quy_mô độ_quy_mô
bn:00008364n	ngân_hàng nhà_băng hoạt_động_ngân_hàng công_ty_ngân_hàng hệ_thống_ngân_hàng lưu_ký_tổ_chức_tài_chính ngành_công_nghiệp_ngân_hàng ngân_hàng_nước_ngoài ngân_hàng_quan_tâm ngân_hàng_quốc_tế
bn:00074010n	nhà_nước
bn:00007799n	hỗ_trợ_tài_chính tài_chính_ủng_hộ
bn:00011975n	
bn:00064839n	an_ninh
bn:00036839n	quỹ quỹ_tiền_tệ
bn:00003601n	số_tiền tổng
bn:00000739n	tin_tức_báo_cáo viết_một_việc_gì
bn:00013240n	
bn:00031641n	thiết_chế_xã_hội viện thể_chế_xã_hội
bn:00051251n	
bn:00000649n	
bn:00051250n	
bn:00027366n	giám_đốc uỷ_viên uỷ_viên_ban_giám_đốc ủy_viên ủy_viên_ban_giám_đốc giám_đốc_điều_hành quản_lý
bn:00012042n	
bn:00017791n	
bn:00047367n	nhà_đầu_tư người_đầu_tư
bn:00051693n	vay_tiền vay
bn:00008047n	chất_hóa_học_cặn còn_lại
bn:00047831n	gà nồi
bn:00068915n	bán
bn:00014136n	công_ty_luật kinh_doanh kinh_doanh_quan_tâm tổ_chức_kinh_doanh
bn:00079107n	đơn_vị
bn:00023844n	khủng_hoảng cuộc_khủng_hoảng
bn:00047358n	đầu_tư vốn_đầu_tư đầu_tư_bất_động_sản đầu_tư_tài_chính
bn:00016448n	tiền_mặt hiện_kim cứng_tiền_mặt
bn:00050920n	
bn:00076744n	thứ_năm
bn:00015496n	vốn_lưu_động tư_bản vốn vốn_tài_chính vốn_đầu_tư vốn_đầu_tư_nước_ngoài
bn:00046356n	
bn:00000939n	chú_thích trích_dẫn nguồn_cần_thiết
bn:00008279n	bầy bọn lũ toán tụi đoàn ban_nhạc
bn:00005019n	phúc_thẩm kháng_cáo khiếu_nại kêu_gọi người_chống_án
bn:00000125n	6 sáu số_6 captain_hicks dàn hexad nửa_tá sáu_người sextuplet sise
bn:00023302n	phòng_xử_án tòa_án
bn:00068424n	hàng
bn:00076677n	lời_khai làm_chứng
bn:00025872n	luật_sư_biện_hộ phòng_thủ_đội
bn:00054523n	tin_nhắn thông_cáo
bn:00078198n	phiên_tòa thử_nghiệm vụ_án_hình_sự đã_cố_gắng
bn:00006469n	hiếp_dâm cưỡng_hiếp hãm_hiếp cưỡng_dâm xâm_hại_tình_dục rape hiếp tên_hiếp_dâm_nối_tiếp
bn:00018345n	vị_thành_niên trẻ_em con_nít thiếu_nhi trẻ_con cầu_thủ_trẻ nhỏ tiddler trẻ tuổi_vị_thành_niên đứa_trẻ
bn:00009472n	giường sàng_tiền
bn:00044994n	nhà nhà_ở nhà_cư ngôi_nhà ngôi_nhà_ở nhà_cửa số_nhà trúc_trong_nước
bn:00034004n	thành_viên đồng_thành_viên
bn:00032892n	hộ_gia_đình gia_hộ hộ gia_đình menage
bn:00048488n	thẩm_phán chánh_án quan_tòa chủ_toạ_phiên_toà iudex tư_pháp
bn:00046148n	
bn:00048658n	bồi_thẩm_đoàn jury_system nhóm_bồi_thẩm ban các_thành_viên_bồi_thẩm_đoàn thành_viên_ban_hội_thẩm
bn:00007051n	luật_sư trạng_sư thầy_kiện lawyer luật_gia cố_vấn_pháp_lý luật_sư luật_sư_bào_chữa luật_sư_thử_nghiệm
bn:00023301n	toà_án tòa_án
bn:00034444n	
bn:00005600n	đối_số
bn:00023362n	báo_cáo phóng_sự sự_báo_cáo
bn:00057562n	phóng_viên ký_giả nhà_báo người_bán_báo thanh_viên_tin_tức
bn:00030627n	sử_dụng
bn:00016140n	
bn:00003263n	không_khí
bn:00026622n	chi_tiết điểm
bn:00060907n	đam_mê niềm_đam_mê nồng_niệt
bn:00019404n	mệnh_đề yêu_cầu_bồi_thường đề_xuất đề_xuất_hợp_lý
bn:00064192n	mạng_lịnh
bn:00025170n	nguy_hiểm
bn:00046310n	
bn:00046516n	cá_nhân người nhân_vị person con_người nhân_vật ai_đó chết một_ai_đó
bn:00067807n	quyền_lợi quyền
bn:00025890n	luật_sư_biện_hộ luật_sư_bào_chữa luật_sư_bào_chữa_hình_sự luật_sư_hình_sự
bn:00078207n	thử_nghiệm_thẩm_phán
bn:00064914n	tỉnh bang tiểu_bang tỉnh_bang đạo_thừa_tuyên nhà_nước provincia
bn:00075262n	toà_án_cấp_trên tòa_án_cấp_trên
bn:00059171n	cầm_quyền
bn:00048459n	truyền_thông_tin_tức báo_chí phương_tiện_truyền_thông tin_tức_truyền_thông
bn:00032047n	bằng_chứng chứng_cớ luật_pháp_của_bằng_chứng
bn:00050106n	trăng_trối
bn:00050107n	
bn:00005022n	tòa_án_thượng_tố toà_án_thượng_tố tòa_phúc_thẩm kháng_cáo_tòa_án phúc_thẩm_tòa_án tòa_án_phúc_thẩm
bn:00016403n	vụ_kiện causa hệ_thống_nguyên_nhân kiện kiện_dân_sự nguyên_nhân phù_hợp_với_pháp_luật quan_hệ_nhân_quả tranh_chấp_pháp_lý trước_khi_xét_xử trường_hợp trường_hợp_pháp_luật trường_hợp_tòa_án tòa_án_dân_sự vụ_án_dân_sự đương_sự
bn:00015226n	công_bằng_đầu_óc
bn:00075359n	tòa_án_tối_cao_hoa_kỳ tối_cao_pháp_viện_hoa_kỳ tòa_án_tối_cao tối_cao_pháp_viện tòa_án_tối_cao_của_mỹ_quốc tối_cao_pháp_viện_của_mỹ_quốc toà_án_tối_cao_của_mỹ_quốc toà_án_tối_cao_mỹ_quốc tòa_án_tối_cao_mỹ_quốc tối_cao_pháp_viện_mỹ_quốc toà_án_tối_cao_hoa_kỳ tòa_án_tối_cao_của_hoa_kỳ toà_án_tối_cao_của_hoa_kỳ toà_án_tối_cao_của_mỹ toà_án_tối_cao_của_nước_mỹ toà_án_tối_cao_mỹ toà_án_tối_cao_nước_mỹ tòa_án_tối_cao_của_mỹ tòa_án_tối_cao_của_nước_mỹ tòa_án_tối_cao_nước_mỹ tối_cao_pháp_viện_của_hoa_kỳ tối_cao_pháp_viện_của_mỹ tối_cao_pháp_viện_của_nước_mỹ tối_cao_pháp_viện_mỹ scotus tòa_án_tối_cao_mỹ toà_án_tối_cao_hoa_kì tòa_án_tối_cao_hoa_kì tối_cao_pháp_viện_hoa_kì ussc tòa_án_tối_cao_thuộc_hoa_kỳ
bn:00021628n	kết_án tuyên_án câu bị_kết_án niềm_tin phán_quyết_của_niềm_tin
